product_id,product_name,sku,barcode,price
P001,Wireless Headphones,WH-2023-001,1234567890123,99.99
P002,Bluetooth Speaker,BS-2023-002,1234567890124,79.99
P003,Smartphone Case,SC-2023-003,1234567890125,24.99
P004,USB-C Cable,UC-2023-004,1234567890126,12.99
P005,Wireless Charger,WC-2023-005,1234567890127,49.99
P006,Power Bank,PB-2023-006,1234567890128,39.99
P007,Screen Protector,SP-2023-007,1234567890129,9.99
P008,Car Mount,CM-2023-008,1234567890130,19.99
P009,Gaming Mouse,GM-2023-009,1234567890131,59.99
P010,Mechanical Keyboard,MK-2023-010,1234567890132,129.99
